P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST,P_PERIOD,P_FLUX,P_TEMP_EQUIL,S_MASS,S_RADIUS,S_TEMPERATURE,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,P_HABITABLE
12.1068,85.813561,0.0578,4.86069,505.44586,1207.9906,1.09,1.19,6040,1.6886138,0.95980702,2.2469061,0
14.1246,165.27056,0.0526,4.20474,1013.1423,1437.35,1.09,1.79,5590,2.8031216,1.2705561,3.009305,0
11.28847,3302.233,0.0476,3.57532,560.07952,1238.4049,1.05,1.08,5900,1.2663222,0.83829707,1.968862,0
10.70555,153.82875,0.0603,5.20851,549.79799,1233.1493,1.01,1.78,5150,1.9969057,1.0986717,2.6410016,0
10.089,270.1538,0.0386,2.85057,374.11667,1119.0451,0.97,0.9,5260,0.55554167,0.57617626,1.3794778,0
11.3221,6884.1545,0.057078415,4.2568,1381.127,1553.1139,1.37,1.56,6740,4.4996365,1.503709,3.4793549,0
13.3399,228.83616,0.09,9.20205,222.29922,983.73788,1.16,1.17,6190,1.8006237,0.98210806,2.2919193,0
15.55948,148.42568,0.04947,4.0378962,720.74916,1318.0415,1,1.19,6100,1.7567174,0.97539162,2.2804286,0
13.07086,940.77089,0.0855,8.886593,176.28215,926.57211,1.05,1.02,6090,1.282207,0.8338197,1.9498525,0
1.6815,3.17828,0.016479635,0.85359163,1759.7036,1650.0792,0.82,0.83,5275,0.47789742,0.53396971,1.2777484,0
2.8306203,8.4001941,0.046,3.698,225.84944,987.64226,0.82,0.83,5275,0.47789742,0.53396971,1.2777484,0
6.3897,69.922161,0.063,6.21229,89.134092,782.80911,0.88,0.77,5080,0.35377321,0.46406745,1.1184972,0
11.94986,266.97552,0.4021,95.272656,5.158561,382.67119,0.96,0.96,5625,0.82664914,0.68856288,1.6291722,0
6.3897,47.6742,0.071,6.71837,140.90404,877.75998,1.08,0.79,5970,0.71029728,0.62516471,1.4658371,0
5.70589,27.616484,0.079427582,8.138268,113.61817,831.7769,1.01,0.96,5428,0.71678757,0.64848313,1.5437246,0
1.31157,2.2754822,0.075317114,8.050722,99.761011,805.16543,0.88,0.83,5502.7,0.56591105,0.57377074,1.3626082,0
1.98417,4.5953145,0.131,21.169861,5.0317823,381.31313,0.66,0.57,4148.21,0.086194845,0.23728997,0.59621142,0
5.76194,28.078642,0.1493,19.49221,105.35792,816.22841,1.17,1.39,6069,2.3484796,1.1299082,2.6434346,0
2.58951,7.2218056,0.098,13.603,20.573967,538.46915,0.69,0.67,4684,0.1936002,0.34944998,0.85618941,0
2.6904,7.7059808,0.28,65.55,2.5203109,318.56264,0.69,0.67,4684,0.1936002,0.34944998,0.85618941,0
1.81602,3.9538581,0.0134,0.571331,4770.3352,2117.2987,0.97,0.98,5617,0.85656139,0.70123919,1.6595539,0
2.73524,7.9252992,0.1091,13.339079,71.962956,742.03119,0.97,0.98,5617,0.85656139,0.70123919,1.6595539,0
11.78171,953.48401,0.07229,6.180235,641.28856,1282.0598,1.32,1.59,6202,3.351274,1.3388636,3.1237361,0
9.90964,70.499802,0.045408131,3.38628,925.09025,1405.0473,1.09,1.24,6100,1.9074421,1.0163745,2.376245,0
12.4431,4131.764,4.5,3650,0.18563774,167.22896,0.9,2.7,4898,3.7591642,1.5258666,3.7044596,0
1.1609198,1.6590622,0.0153,1.628931,19.78373,532.3506,0.18,0.21,3270,0.004517709,0.055116435,0.14464063,0
1.4318957,2.6411507,0.0476,8.929,2.0708138,301.33711,0.18,0.21,3270,0.004517709,0.055116435,0.14464063,0
11.936835,96.69917,0.166,41.38,0.63834824,221.23955,0.35,0.4,3264,0.016270812,0.10460522,0.27459187,0
9.7061586,68.059689,0.912,532.58,0.020817585,94.562916,0.35,0.4,3264,0.016270812,0.10460522,0.27459187,0
2.84734,6.2612117,0.01411,1.5804046,18.262309,526.66424,0.15,0.22,3026,0.003635881,0.049566015,0.13157682,0
2.6267538,7.3990359,0.026,3.6511,5.2508658,385.5425,0.18,0.19,3236,0.003546745,0.048852579,0.12841156,0
2.61193,22.699276,0.1915,35.61253,5.4895274,387.35278,0.73,0.69,4640,0.19772371,0.35376271,0.86845433,0
3.2461593,10.599564,0.0607,8.63182,5.3391293,386.88117,0.4,0.382,3500,0.019619483,0.11456318,0.2972922,0
2.4996552,6.8015193,0.1254,25.63058,1.2538086,269.09231,0.4,0.382,3500,0.019619483,0.11456318,0.2972922,1
5.9200296,29.39909,1.0304,603.95116,0.019916215,93.086873,0.4,0.382,3500,0.019619483,0.11456318,0.2972922,0
13.887363,260.61896,2.41,2288,0.002938564,58.81917,0.36,0.38,3370,0.016686892,0.10581532,0.27634831,0
1.5095953,2.8890565,0.091101,18.6498,1.1937549,265.80058,0.29,0.29,3382,0.009857779,0.081319124,0.21224964,1
1.0554253,1.1791419,0.036467,4.7234,7.5222369,419.61315,0.29,0.29,3382,0.009857779,0.081319124,0.21224964,0
13.050041,1071.0804,0.49,133.71,3.3123323,325.16469,0.9,0.9,5540,0.6836168,0.62927367,1.4926891,0
1.1839043,1.7798368,0.0197,1.22003,112.21488,823.51608,0.68,0.5,3717,0.04275618,0.16860694,0.43283775,0
1.8763492,4.1794382,0.057,5.974,13.240144,484.87267,0.68,0.5,3717,0.04275618,0.16860694,0.43283775,0
3.2283528,10.501037,0.698,257.8,0.092628927,137.75525,0.68,0.5,3717,0.04275618,0.16860694,0.43283775,0
5.1933932,23.538342,0.14339,30.5987,1.008018,255.10464,0.42,0.4,3466,0.020688207,0.11769099,0.30592132,0
4.8682094,21.091066,0.36175,122.6196,0.15905572,160.5247,0.42,0.4,3466,0.020688207,0.11769099,0.30592132,0
2.6683929,7.5992676,0.19394,48.1345,0.55403568,219.20455,0.42,0.4,3466,0.020688207,0.11769099,0.30592132,1
1.626761,3.279985,0.08208,13.2543,3.140812,336.3145,0.42,0.4,3466,0.020688207,0.11769099,0.30592132,0
1.2266953,2.0213861,0.03282,5.3636,1.2256729,265.35756,0.16,0.12,3159,0.001284842,0.029426005,0.077631089,1
1.323458,2.3106096,0.1264,40.54,0.081606268,135.42324,0.16,0.12,3159,0.001284842,0.029426005,0.077631089,0
2.4581349,6.6108225,0.089,14.207,3.5602707,343.44139,0.47,0.44,3526,0.026811631,0.13388147,0.346977,0
4.57368,13.898619,0.0355,3.3366496,36.121629,624.57808,0.54,0.55,3600,0.045522282,0.17427809,0.45001604,0
1.22189,1.8402241,0.035,3.93072,12.760347,481.51579,0.34,0.34,3505,0.015631425,0.10225239,0.26528011,0
1.6617796,3.4007596,0.061,9.1247,4.2008667,364.73684,0.34,0.34,3505,0.015631425,0.10225239,0.26528011,0
2.3442156,6.0991194,0.204,55.661,0.37561094,199.4479,0.34,0.34,3505,0.015631425,0.10225239,0.26528011,1
2.7503414,7.9997308,0.026,3.0232,12.716533,480.6592,0.27,0.28,3324,0.008575289,0.075892927,0.19864589,0
2.5718565,7.1384169,0.0608,6.905,20.316112,539.3931,0.63,0.61,3867,0.074549546,0.22205861,0.56579196,0
1.3763357,2.4695236,0.029,2.64977,49.08969,674.36105,0.5,0.49,3722,0.041284429,0.16566644,0.42518273,0
2.3807127,6.2612117,0.089,13.74,5.2182907,384.88524,0.5,0.49,3722,0.041284429,0.16566644,0.42518273,0
1.5406737,2.9907615,0.0785,12.9532,3.6535463,348.97906,0.39,0.39,3563,0.021962468,0.12111272,0.31330948,0
4.2230968,16.568374,0.082,13.352,3.1729183,330.86988,0.41,0.41,3387,0.019820616,0.11530219,0.30087485,0
2.4020004,6.3565601,0.06,7.3709,8.9562614,440.20403,0.59,0.5,3461,0.032139199,0.14669839,0.38141585,0
2.1721284,5.3585801,0.06661,8.7076,9.3388622,444.83179,0.52,0.5,3685,0.041302717,0.16579904,0.42631085,0
4.0140343,15.2,0.041000001,5.368,7.1358813,416.35844,0.32300001,0.29899999,3498,0.011992514,0.08957095,0.23246016,0
2.241415,5.652,0.074000001,12.919,2.1983489,309.77811,0.32300001,0.29899999,3498,0.011992514,0.08957095,0.23246016,0
1.160517,1.657,0.028999999,3.1530001,14.372555,494.59254,0.32300001,0.29899999,3498,0.011992514,0.08957095,0.23246016,0
1.4879674,2.8191344,0.078361,14.628,2.1197713,306.42984,0.3,0.31,3499,0.012905885,0.092918154,0.24113513,0
1.777887,3.813936,0.125,28.14,1.3312158,273.63677,0.33,0.42,3350,0.020796086,0.11815348,0.30887108,1
1.4001882,2.542624,0.213,62.24,0.45846827,209.62335,0.33,0.42,3350,0.020796086,0.11815348,0.30887108,1
1.4001882,2.542624,0.156,39.026,0.85492484,244.93653,0.33,0.42,3350,0.020796086,0.11815348,0.30887108,1
12.829992,1576.4269,1.82,1056.8001,0.026520279,100.6316,0.73,0.69,3734,0.082924733,0.23474674,0.60211571,0
12.653108,2161.2304,6.6,7337,0.00190369,53.216213,0.73,0.69,3734,0.082924733,0.23474674,0.60211571,0
1.9468648,4.449592,0.041386533,3.6005,50.165845,669.09551,0.73,0.69,3734,0.082924733,0.23474674,0.60211571,0
2.7393849,7.9457001,0.18990551,35.39,2.3175476,313.41605,0.73,0.69,3734,0.082924733,0.23474674,0.60211571,0
2.9481483,9.000889,0.1344,24.16,3.0669811,337.14963,0.55,0.54,3816,0.055399983,0.19160494,0.48944567,0
4.5877261,19.06968,0.17,38.14,0.71393931,234.11533,0.45,0.43,3340,0.020616333,0.11765444,0.30771585,0
2.182734,5.403076,0.163,35.68,1.2234795,266.29863,0.45,0.48,3472,0.031975683,0.14630538,0.38018809,1
